ID,N,PF,PRF,RF,SF,SPF,SRF,SPRF
1,0.004417,0.002099,0.007013,0.003344,-0.001013,-0.002412,0.009159,-0.002226
2,0.000981,-4.17E-05,-0.004603,0.003353,0.006482,0.002159,-0.003972,-0.00108
3,0.00286,-0.000414,0.011365,-0.001473,-0.00173,0.004102,0.005297,0.001924
4,-0.001633,0.007767,-0.012012,0.00576,0.000449,0.001902,-0.01343,0.007125
5,0.002137,-0.004912,0.011192,-0.001351,-9.62E-05,0.001928,-0.004206,-0.00034
6,0.001339,0.006012,-0.004897,0.003029,0.006037,-0.001322,0.047676,-0.000401
7,0.003325,-0.002592,0.003447,-0.008029,-0.000841,0.005005,-0.015791,0.002892
8,0.001714,0.005531,0.004461,0.007267,0.002821,0.001866,0.008507,0.003481
9,0.001153,-0.000559,-0.002307,0.009322,0.000931,0.002304,-0.09614,-0.001828
10,0.001646,0.003083,0.009671,0.001776,0.002404,-0.001335,0.143085,0.001706
11,0.001463,-0.000906,-0.009818,-0.00823,0.00036,0.00114,-0.103898,0.005313
12,0.001333,0.002133,0.006871,-0.000346,0.001399,0.005058,0.086276,0.000267
13,-4.69E-05,0.003305,-0.000164,0.006181,0.000633,0.003001,-0.065323,0.002334
14,0.002995,-0.001653,0.000639,0.002095,0.003775,-0.000752,0.03138,-0.000447
15,0.003079,0.005308,0.005541,0.001548,0.000362,0.002365,0.003263,0.005662
16,0.001796,-0.000518,-0.003248,0.002838,0.003185,0.001911,-0.021654,-0.004726
17,0.000387,-0.001425,0.005804,0.00349,-0.000426,-0.000842,0.013748,0.006792
18,0.001152,0.008324,0.001665,-0.003039,0.002314,0.002576,-0.008721,0.000102
19,0.001431,-0.004282,-0.003943,0.001109,0.001084,-0.000618,0.036717,0.004927
20,0.001351,0.005403,0.007208,-0.001191,0.001634,0.009982,-0.020272,-0.006024
21,0.002664,-0.00417,-0.005554,0.002195,0.000699,-0.000327,0.004263,0.004645
22,0.001753,0.007337,0.009469,0.008105,0.003644,0.001,-0.017396,0.004762
23,0.001507,0.001845,-0.004982,0.00224,0.001968,-0.008345,0.020275,0.002726
24,0.001921,-0.002824,0.005327,0.002332,0.000449,0.00655,-0.003621,-0.00243
25,0.001657,0.004106,0.002985,-0.007881,-2.80E-05,0.004561,0.001969,0.000395
26,-5.34E-05,5.45E-05,-0.001592,0.000836,0.002801,0.00889,-0.002976,0.007518
27,0.00167,0.003692,0.00149,0.001081,0.001106,-0.002231,0.016407,0.000328
28,0.002573,0.001678,-0.000354,0.009169,0.001717,-0.001114,-0.006647,-0.000665
29,0.002175,-0.003033,0.001168,0.004074,0.003253,-0.003818,-0.005839,0.000267
30,0.001895,0.00669,0.007486,0.001528,0.000813,0.006121,-0.009444,0.004743
31,0.002056,-0.000773,-0.005802,-0.004234,-0.000498,0.000104,0.018357,0.0057
32,0.000364,0.003427,0.009747,2.20E-05,0.002291,0.006946,0.002008,-0.002961
33,-0.00018,-0.002977,-0.005808,3.56E-05,0.002399,0.000514,0.002104,-0.000847
34,0.002686,0.007325,0.006896,-0.001867,0.001116,0.006897,-0.007658,0.000609
35,0.002911,-0.004067,-0.004284,0.010638,0.001922,-0.007429,0.009067,0.007337
36,0.001843,0.007241,0.003421,0.005783,-0.000573,0.001635,0.000131,-0.002169
37,0.002024,-0.00178,0.004609,0.005148,0.007074,-0.001324,-0.001993,0.003972
38,0.000519,0.000614,-0.001836,-0.013553,-0.004904,0.005601,-0.00183,0.003262
39,0.001303,0.003357,0.003835,-0.001993,0.003676,0.010758,0.008432,0.002406
40,0.001156,0.000835,-0.000568,0.005535,0.002106,-0.002544,0.00598,-0.003728
41,0.0018,0.000565,0.0038,0.008009,0.001323,0.002052,-0.002653,-0.001664
42,0.00183,0.004193,-0.002277,0.001402,0.002482,-0.005029,-0.005023,0.007381
43,0.002768,-0.002318,0.003312,0.001132,-0.001801,0.000825,0.002187,0.005941
44,0.002167,0.005782,0.00074,0.004409,0.004093,0.005523,0.003785,0.000111
45,0.000876,-0.002186,0.001737,-0.002619,0.001009,0.002368,0.002417,-0.002541
46,-0.000127,0.004246,0.002278,0.000964,0.001701,0.004527,-0.002713,0.00022
47,0.001402,-0.001616,0.001233,-0.012016,-0.001717,0.000599,0.004295,0.003737
48,0.002488,0.003689,0.003989,0.012718,0.008136,0.002988,0.002113,-0.001279
49,0.002645,0.001085,0.000834,0.00898,-0.007259,-0.004682,-6.18E-05,0.006356
50,0.001928,0.004338,-0.005367,0.009224,0.010612,0.000942,-0.000329,0.006354
51,0.000814,-0.003272,0.006335,-0.01209,-0.005803,0.005876,0.001339,0.00191
52,0.00084,0.00412,0.001869,-0.006351,0.004197,0.00219,0.005003,-0.008968
53,0.002202,-0.000487,0.003555,0.005243,0.000215,0.003964,-0.002051,-0.001749
54,0.001621,0.004326,-0.002073,0.005152,0.005366,-0.001519,0.006391,0.009927
55,0.00056,-0.000755,0.003152,0.004799,-0.000255,0.000762,-0.00272,0.006014
56,0.001871,0.002632,0.00372,0.000188,-0.001543,0.006024,0.004821,-0.002993
57,0.004565,0.000788,-0.006128,0.006348,0.001921,-0.0015,-0.00483,-0.0014
58,-8.65E-05,0.003077,0.003438,-0.005529,0.006758,0.000703,0.003496,0.008468
59,0.000914,0.001037,0.004383,0.001736,-0.005474,-0.000303,0.002596,-0.000649
60,0.000387,-0.001069,0.004183,-0.006352,0.007505,0.008783,0.002944,-0.006246
61,0.002318,0.004081,-0.000722,0.01346,-0.002676,9.80E-05,-0.004349,0.006621
62,0.002252,0.000372,0.0002,-0.000773,0.005419,0.001949,0.003842,0.007662
63,0.002363,0.003478,-0.001476,0.00466,-0.001493,-0.004808,0.001272,0.003996
64,0.001339,0.000944,0.004717,-0.00587,0.001137,0.004644,0.00493,-0.010694
65,0.000764,0.000551,0.000127,0.005896,-0.001786,0.004129,-0.005679,0.00809
66,0.001566,0.002409,0.005399,-0.000474,0.008915,0.000864,0.003262,0.000349
67,0.002408,-0.00019,-0.000612,0.002387,-0.002131,0.001376,0.003374,0.000873
68,-0.001463,0.003424,0.001682,-0.000668,0.002529,0.000729,0.005613,0.002068
69,0.007219,-0.000542,-0.000111,0.00466,0.000801,0.005352,-0.00242,0.002601
70,-0.001953,0.003255,0.00076,0.003341,-0.001333,0.000836,-0.00276,0.005462
71,0.001458,0.0016,0.002061,0.000779,0.00584,-0.001819,0.007162,-0.004926
72,0.002743,0.000116,0.001691,-0.002881,-0.001056,0.001205,0.000825,0.004206
73,0.001596,0.004228,0.00486,-0.000845,-0.001354,0.005432,-0.000362,0.001939
74,0.001472,-0.002942,-0.000937,0.007622,0.010221,0.004541,-0.001902,0.00244
75,9.21E-05,0.005573,0.000284,0.001494,-0.008776,-0.00167,0.004935,-0.000954
76,0.003561,0.000874,0.003481,0.007427,0.009126,-0.001159,0.005618,0.004141
77,-0.000166,0.00023,-0.004999,-0.005791,-0.001525,0.003197,-0.008356,0.005088
78,0.004076,0.002454,0.009984,-0.002931,-0.003737,0.003907,0.004161,-0.000648
79,-0.002173,0.000514,-0.010513,0.000779,0.00835,0.000609,0.000954,-0.002687
